name,city,latitude,longitude
Ogrod Botaniczny Akademii Medycznej we Wroclawiu,Wroclaw,51.1, 17.03333
Ogrod Botaniczny Uniwersytetu Wroclawskiego wraz z filia w Wojslawicach,Wroclaw,51.1, 17.03333
Ogrod Botaniczny Uniwersytetu Kazimierza Wielkiego w Bydgoszczy,Bydgoszcz,53.1235, 18.00762
Ogrod Zoobotaniczny w Toruniu,Torun,53.01375, 18.59814
Lesny Park Kultury i Wypoczynku Myslecinek w Bydgoszczy,Bydgoszcz,53.1235, 18.00762
Ogrod Botaniczny Instytutu Hodowli i Aklimatyzacji Roslin w Radzikowie k. Blonia,Bydgoszcz,53.1235, 18.00762
Ogrod Botaniczny Uniwersytetu Marii Curie-Sklodowskiej w Lublinie,Lublin,51.25, 22.56667
Ogrod Botaniczny w lodzi,Lodz,51.75, 19.46667
Gorski Ogrod Botaniczny w Zakopanem im. Mariana Raciborskiego Polskiej Akademii Nauk,Zakopane,49.29899, 19.94885
Ogrod Botaniczny Uniwersytetu Jagiellonskiego,Krakow,50.06143, 19.93658
Ogrod Botaniczny Uniwersytetu Warszawskiego,Warszawa,52.2319237,21.006726500000003
Ogrod Botaniczny Polskiej Akademii Nauk - Centrum Zachowania Roznorodnosci Biologicznej w Powsinie,Warszawa,52.2319237,21.006726500000003
Lesny Ogrod Botaniczny w Marszewie,Gdynia,54.51889, 18.53188
Ogrod Roslin Leczniczych Gdanskiego Uniwersytety Medycznego,Gdansk,54.35205, 18.64637
Miejski Ogrod Botaniczny w Zabrzu,Zabrze,50.32492, 18.78576
Ogrod Botaniczny w Radzionkowie,Mikolow,50.17103, 18.9041
Ogrod Botaniczny w Mikolowie,Mikolow,50.17103, 18.9041
Arboretum Bramy Morawskiej,Raciborz,50.09195, 18.21928
Ogrod Botaniczny Egzotarium Ogrod Botaniczny,Sosnowiec,50.28682, 19.10385
Ogrod Botaniczny w Sandomierzu,Sandomierz,50.68265, 21.74898
Geopark Kielce,Kielce,50.87033, 20.62752
Ogrod Botaniczny Akademii Rolniczej w Poznaniu,Poznan,52.40692, 16.92993
Palmiarnia Poznanska,Poznan,52.40692, 16.92993
Ogrod Botaniczny Akademii Rolniczej w Poznaniu (Arboretum Lesne),Murowana Goslina,52.57463, 17.00933
Ogrod Botaniczny Uniwersytetu im. A. Mickiewicza w Poznaniu,Poznan,52.40692, 16.92993
Ogrod Botaniczny w Glinnej (ogrod Dendrologiczny),Gryfino,53.25243, 14.48831
