Ogrod Botaniczny Akademii Medycznej we Wroclawiu,Wroclaw
Ogrod Botaniczny Uniwersytetu Wroclawskiego wraz z filia w Wojslawicach,Wroclaw
 Arboretum Lesne im. Prof. Stefana Bialoboka,Stradomia Dolna
 Ogrod Botaniczny Uniwersytetu Kazimierza Wielkiego w Bydgoszczy,Bydgoszcz
 Ogrod Zoobotaniczny w Toruniu,Torun
" Lesny Park Kultury i Wypoczynku ""Myslecinek"" w Bydgoszczy,Bydgoszcz"
 Ogrod Botaniczny  Instytutu Hodowli i Aklimatyzacji Roslin w Radzikowie k. Blonia,Bydgoszcz
 Ogrod Botaniczny Uniwersytetu Marii Curie-Sklodowskiej w Lublinie,Lublin
 Ogrod Botaniczny w lodzi,Lodz
Ogrod Botaniczny na terenie Lesnego Zakladu Doswiadczalnego w Rogowie ,Rogow
 Gorski Ogrod Botaniczny w Zakopanem im. Mariana Raciborskiego Polskiej Akademii Nauk,Zakopane
 Ogrod Botaniczny Uniwersytetu Jagielloñskiego,Krakow
 Ogrod Botaniczny Uniwersytetu Warszawskiego,Warszawa
Ogrod Botaniczny Polskiej Akademii Nauk - Centrum Zachowania Ro¿norodnosci Biologicznej w Powsinie,Warszawa
 Ogrod Botaniczny w Bolestraszycach,Wyszatyce
 Podlaski Ogrod Ziolowy,Grodzisk
" Ogrod Botaniczny ""Arboretum Wirty"",Borzechowo"
 Ogrod Dendrologiczny w Orlu,Liniewo
 Ogrod Botaniczny w Golubiu,Golubie
 Lesny Ogrod Botaniczny w Marszewie,Gdynia
 Ogrod Roslin Leczniczych Gdañskiego Uniwersytety Medycznego,Gdansk
 Miejski Ogrod Botaniczny w Zabrzu,Zabrze
 Ogrod Botaniczny w Radzionkowie,Mikolow
 Ogrod Botaniczny w Mikolowie,Mikolow
 Arboretum Bramy Morawskiej,Raciborz
" Ogrod Botaniczny ""Egzotarium Ogrod Botaniczny"",Sosnowiec"
 Ogrod Botaniczny w Sandomierzu,Sandomierz
 Geopark Kielce,Kielce
 Lesne Arboretum Warmii i Mazur w Kudypach,Gietrzwald
 Ogrod Botaniczny Akademii Rolniczej w Poznaniu,Poznan
 Ogrod Botaniczny Polskiej Akademii Nauk w Korniku,Kornik
 Palmiarnia Poznañska,Poznan
  Ogrod Roslin Leczniczych Instytutu Wlokien Naturalnych i Roslin Zielarskich w Plewiskach,Plewiska
 Ogrod Botaniczny w BrzeŸnie,Brzezno
 Ogrod Botaniczny Akademii Rolniczej w Poznaniu (Arboretum Lesne),Murowana Goslina
 Ogrod Botaniczny Uniwersytetu im. A. Mickiewicza w Poznaniu,Poznan
 Ogrod Botaniczny w Glinnej (ogrod Dendrologiczny),Gryfino
 Ogrod Botaniczny w Przelewicach,Przelewice
