ZOO Wroclaw Sp. z o.o.,Wroclaw
ZOO FARMA,Mieroszow
Ogrod Zoologiczny w Lubinie,Lubin 
Ogrod Fauny Polskiej,Bydgoszcz
Ogrod Zoologiczny w Toruniu,Torun
Ogrod Zoologiczny im. Stefana Milera w Zamosciu,Zamosc
ZOO Safari Swierkocin,Witnica
Miejski Ogrod Zoologiczny w lodzi,Lodz
ZOO Safari Borysew,Poddebice
Miejski Park i Ogrod Zoologiczny w Krakowie,Krakow
Miejski Ogrod Zoologiczny w Plocku,Plock
Miejski Ogrod Zoologiczny w Warszawie,Warszawa
Ogrod Zoologiczny Opole,Opole
Akcent ZOO,Bialystok
Akwarium Gdynskie,Gdynia
Miejski Ogrod Zoologiczny Wybrzeza,Gdansk
Ogrod Zoologiczny CANPOL,Czluchow
Ogrod Zoologiczny Dolina Charlotty,Slupsk
Slaski Ogrod Zoologiczny w Chorzowie,Chorzow
LeSny Park Niespodzianek,Ustron
Ogrod Zoologiczny w Sosnowcu,Sosnowiec
Park Dzikich Zwierzat w Kadzidlowie,Kadzidlowo
Ogrod Zoologiczny - Poznan,Poznan
Ogrod Zoologiczny w Nowym TomySlu,Nowy Tomysl
